system:index,pop_child_total,pop_exposed_agricultural_drought_fao_1984-2023,pop_exposed_air_pollution_pm25_1998-2023,pop_exposed_coastal_flood_100yr_jrc_2024,pop_exposed_drought_spei_terraclimate_1958-2025,pop_exposed_drought_spi_terraclimate_1958-2025,pop_exposed_drought_topic,pop_exposed_extreme_heat_ecmwf_2014-2024,pop_exposed_fire_FRP_nasa_2001-2024,pop_exposed_fire_frequency_nasa_2001-2023,pop_exposed_fire_topic,pop_exposed_heatwave_duration_ecmwf_2014-2024,pop_exposed_heatwave_frequency_ecmwf_2014-2024,pop_exposed_heatwave_severity_ecmwf_2014-2024,pop_exposed_heatwave_topic,pop_exposed_pluvial_flood,pop_exposed_river_flood_100yr_jrc_2024,pop_exposed_sand_dust_storm_unccd_2024,pop_exposed_tropical_storm_100yr_giri_2024,pop_exposed_vectorborne_malariapf_2012-2022,pop_exposed_vectorborne_malariapv_2012-2022,pop_mhi_p75,pop_mhi_p80,pop_mhi_p85,pop_mhi_p90,pop_mhi_p95,pop_topic_ge_1,pop_topic_ge_2,pop_topic_ge_3,pop_topic_ge_4,pop_topic_ge_5,pop_topic_ge_6,pop_topic_ge_7,pop_topic_ge_8,pop_total,ucode,.geo
00000000000000000051,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SHN2_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SHN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d7,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SHN3_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d8,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SHN3_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000603,845.7013664736724,,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,10.682873407882804,,241.29543497947355,,,,0.0,0.0,0.0,0.0,0.0,246.10270297875007,8.072881055995822,0.0,0.0,0.0,0.0,0.0,0.0,5199.487445189212,SHN_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025c,51082.88493538597,,0.0,354.68716058060585,51027.976074997416,51027.976074997416,51027.976074997416,0.0,0.0,0.0,0.0,32254.82246383814,32254.82246383814,0.0,32254.82246383814,,,0.0,51082.88493538597,,,13312.409931002318,0.0,0.0,0.0,0.0,51082.88493538597,51045.46792386805,32343.940194125364,248.07758142275404,0.0,0.0,0.0,0.0,168189.1759453309,GUM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000040e,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000040f,7929.957172048256,1554.9300120296123,6559.164448806975,169.73151708628401,0.0,0.0,1554.9300120296123,0.0,742.5595497795998,403.4265767674323,901.8159363400545,6013.082193114413,6011.383269112408,0.0,6013.082193114413,93.12554733403455,,0.0,7929.957172048256,,,4697.754498856235,4697.754498856235,1783.4557859160232,0.0,0.0,7929.957172048256,7678.438254740517,5923.739683890472,1592.9437592986667,114.69915644054245,0.7826059907674789,0.0,0.0,28745.758938937997,NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000410,247.81757564931635,90.45287994996589,,0.0,0.0,0.0,90.45287994996589,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,247.81757564931635,,,,,,,,247.81757564931635,90.45287994996589,0.0,0.0,0.0,0.0,0.0,0.0,929.3704002830727,NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000411,65135.99125156338,14453.649213909688,46454.508486131075,1626.3201915654568,0.0,0.0,14453.649213909688,0.0,6824.542253435972,215.7643200859311,6835.955603438812,36526.605240509976,37511.284264267,0.0,38037.51228290172,1929.4582116437016,,45.716314290843755,65135.99125156338,,,16336.815356558118,15812.454329519287,12813.645381410139,2005.22177487328,0.0,65135.99125156338,56169.44299739846,37988.063845214616,14164.506930137302,1453.7152571351462,53.20489515609601,0.0,0.0,256522.37053443005,NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
